사업소,호기,일자,황산화물(ppm)기준,황산화물(ppm)평균,질소산화물(ppm)기준,질소산화물(ppm)평균,먼지(㎎/S㎥)기준,먼지(㎎/S㎥)평균,월,NOX_일평균,SOX_일평균,먼지,산소,유량,온도
삼천포,4B호기,202411,70.0,15.4,140.0,32.4,25.0,2.6,202411,30.07133333333333,10.806333333333333,61.532666666666664,21.045,539.6126666666667,13.229666666666667
삼천포,5A호기,202411,140.0,9.0,140.0,1.5,25.0,0.8,202411,10.319666666666667,7.377,7.117333333333334,14.819666666666668,30584.994333333336,59.648
삼천포,5B호기,202411,140.0,9.0,140.0,1.5,25.0,0.8,202411,4.423,7.542000000000001,35.69533333333334,15.007,25123.175,58.705000000000005
삼천포,6A호기,202411,140.0,9.0,140.0,1.5,25.0,0.8,202411,2.3246666666666664,9.609,5.426666666666667,7.1770000000000005,62937.14033333333,79.15633333333334
삼천포,6B호기,202411,140.0,9.0,140.0,1.5,25.0,0.8,202411,2.4993333333333334,9.264999999999999,6.3853333333333335,7.019666666666667,68922.05566666667,79.02133333333333
영흥,1호기,202411,45.0,1.8,55.0,11.9,20.0,1.9,202411,0.46799999999999997,19.435,705.0643333333334,21.03533333333333,40.204,9.514333333333333
영흥,2호기,202411,45.0,1.8,55.0,11.9,20.0,1.9,202411,1.1803333333333332,33.456,490.436,20.962666666666667,3418.7439999999997,10.062999999999999
영흥,3호기,202411,25.0,16.0,15.0,12.0,5.0,1.5,202411,0.1996666666666667,19.729666666666667,288.61066666666665,21.110333333333337,50.26566666666667,11.075333333333333
영흥,4호기,202411,25.0,16.0,15.0,12.0,5.0,1.5,202411,11.350999999999999,14.453,4.142333333333333,6.968,180004.8646666667,78.75866666666667
삼천포,5A호기,202411,25.0,9.6,15.0,9.3,5.0,1.9,202411,10.319666666666667,7.377,7.117333333333334,14.819666666666668,30584.994333333336,59.648
삼천포,5B호기,202411,25.0,9.6,15.0,9.3,5.0,1.9,202411,4.423,7.542000000000001,35.69533333333334,15.007,25123.175,58.705000000000005
삼천포,6A호기,202411,25.0,9.6,15.0,9.3,5.0,1.9,202411,2.3246666666666664,9.609,5.426666666666667,7.1770000000000005,62937.14033333333,79.15633333333334
